
Los Angeles County,10098052,
San Diego County,3302833,
Orange County,3164182,
Riverside County,2383286,
San Bernardino County,2135413,
Santa Clara County,1922200,
Alameda County,1643700,
Sacramento County,1510023,
Contra Costa County,1133247,
Fresno County,978130,
Kern County,883053,
San Francisco County,870044,
Ventura County,848112,
San Mateo County,765935,
San Joaquin County,732212,
Stanislaus County,539301,
Sonoma County,501317,
Tulare County,460477,
Santa Barbara County,443738,
Solano County,438530,
Monterey County,433212,
Placer County,380077,
San Luis Obispo County,281455,
Santa Cruz County,273765,
Merced County,269075,
Marin County,260295,
Butte County,227075,
Yolo County,214977,
El Dorado County,186661,
Imperial County,180216,
Shasta County,179085,
Madera County,155013,
Kings County,150075,
Napa County,140530,
Humboldt County,135768,
Nevada County,99092,
Sutter County,95872,
Mendocino County,87422,
Yuba County,75493,
Lake County,64148,
Tehama County,63373,
San Benito County,59416,
Tuolumne County,53932,
Calaveras County,45235,
Siskiyou County,43540,
Amador County,37829,
Lassen County,31185,
Glenn County,27897,
Del Norte County,27424,
Colusa County,21464,
Plumas County,18699,
Inyo County,18085,
Mariposa County,17540,
Mono County,14174,
Trinity County,12862,
Modoc County,8938,
Sierra County,2930,
Alpine County,1146,

